propertyType,rooms,size,buildYear,cluster_100m,adj_price,cluster_1000m,avg_adjusted_sqm_price_100m,avg_adjusted_sqm_price_1000m
3,3.0,97,2017,0,4544994,0,46855,47731
3,4.0,83,1905,1,4095045,0,49337,44189
3,2.0,63,1930,1,2982810,0,47345,44189
3,4.0,124,1901,1,2831142,0,22831,44189
3,4.0,132,1969,2,5864509,0,44427,37211
3,2.0,55,2004,3,2123356,0,38605,42193
3,6.0,169,1877,1,6061678,0,35867,44189
3,2.0,62,1942,4,1921132,0,30985,32232
3,3.0,76,1900,1,3159757,0,41575,44189
3,3.0,75,1899,5,3387259,0,45162,45759
3,2.0,51,1969,3,2082912,0,40841,42193
3,2.0,62,1936,1,2007077,0,32372,44189
3,3.0,134,1897,1,4800303,0,35823,44189
3,2.0,61,1934,6,1921132,0,31493,35867
3,2.0,65,1956,7,3892821,1,59888,51813
3,2.0,89,1956,7,3892821,1,43739,51813
3,3.0,65,1933,8,2704752,0,41610,40575
3,2.0,55,1876,5,2123356,0,38605,45759
3,3.0,85,1972,9,1814964,0,21351,25860
3,2.0,63,1935,1,2477249,0,39320,44189
3,4.0,100,1968,10,2391304,0,23913,31481
3,3.0,66,1949,11,2805864,0,42512,34667
3,2.0,62,1936,6,2118301,0,34165,35867
3,3.0,95,1945,12,2623862,0,27618,30814
3,2.0,76,1927,1,2932254,0,38581,44189
3,3.0,110,2022,13,5561172,0,50556,49653
3,2.0,51,1902,5,2300303,0,45103,45759
3,3.0,83,1956,14,2148634,0,25886,27092
3,3.0,88,1936,1,3533872,0,40156,44189
3,2.0,62,1988,3,2320525,0,37427,42193
3,2.0,60,1928,1,2224469,0,37073,44189
3,2.0,87,2017,0,3569261,0,41025,47731
3,2.0,59,1880,1,3129433,0,53040,44189
3,3.0,81,1858,1,2563195,0,31644,44189
3,2.0,60,1936,1,2426693,0,40444,44189
3,3.0,68,1952,15,2421638,0,35611,37312
3,3.0,68,1957,4,1946410,0,28622,32232
3,3.0,87,1934,1,2730030,0,31379,44189
3,5.0,120,1880,5,8088978,0,67407,45759
3,3.0,76,2001,16,3159757,0,41575,40642
3,3.0,62,1816,1,3260869,0,52594,44189
3,3.0,88,2021,0,4802831,0,54577,47731
3,2.0,55,1915,5,2628918,0,47797,45759
3,3.0,84,1956,14,2576339,0,30670,27092
3,3.0,75,1969,2,2507583,0,33433,37211
3,3.0,98,2016,0,4332659,0,44210,47731
3,2.0,50,2017,1,2249747,0,44994,44189
3,3.0,85,1901,5,4246713,0,49960,45759
3,2.0,70,1897,1,5131445,0,73306,44189
3,3.0,101,1936,1,2881698,0,28530,44189
3,3.0,88,1986,17,1820020,0,20681,26132
3,2.0,67,1933,5,2487360,0,37124,45759
3,2.0,67,1937,1,2386248,0,35614,44189
3,2.0,55,1927,1,2224469,0,40444,44189
3,3.0,75,2003,18,1769464,2,23592,22879
3,3.0,76,2019,3,3736097,0,49158,42193
3,4.0,102,1886,1,3741152,0,36677,44189
3,3.0,142,2000,19,4651162,0,32754,31584
3,2.0,66,1945,4,2020222,0,30608,32232
3,2.0,49,2022,20,3033367,0,61904,51831
3,2.0,65,1935,6,1921132,0,29555,35867
3,2.0,57,1933,5,2123356,0,37251,45759
3,2.0,54,1927,1,2249747,0,41661,44189
3,3.0,69,2011,21,3235591,0,46891,47239
3,2.0,62,1897,3,2527805,0,40770,42193
3,2.0,78,2013,0,2831142,0,36296,47731
